district,month,month_dt,ASSI_before,ASSI_after,risk_probability_before,risk_probability_after
Gadchiroli,2025-07,2025-07-01,30.36,30.12,0.036749400130292514,0.036749400130292514
Gadchiroli,2025-08,2025-08-01,29.38,29.18,0.005880346609994461,0.05153035719121789
Gadchiroli,2025-09,2025-09-01,33.93,33.49,0.026165085041051844,0.026165085041051844
Gadchiroli,2025-10,2025-10-01,36.61,35.95,0.6464311127340842,0.4994685720029594
Gadchiroli,2025-11,2025-11-01,39.17,38.25,0.1477722357179268,0.9217181220714098
Gadchiroli,2025-12,2025-12-01,30.35,29.77,0.4743056401934531,0.4323632749254655
Gadchiroli,2026-01,2026-01-01,26.57,26.53,0.03472952491939591,0.03472952491939591
Gondia,2025-05,2025-05-01,26.95,26.95,0.010456537186334821,0.010456537186334821
Gondia,2025-06,2025-06-01,27.0,26.99,0.0040294073166691185,0.0040294073166691185
Gondia,2025-07,2025-07-01,26.98,26.98,0.06325332526317695,0.057121739402764986
Gondia,2025-08,2025-08-01,26.99,26.99,0.006437437311513408,0.009170361028452333
Gondia,2025-09,2025-09-01,27.05,27.04,0.005784233769141502,0.006437437311513408
Gondia,2025-10,2025-10-01,27.13,27.12,0.005784233769141502,0.005784233769141502
Gondia,2025-11,2025-11-01,27.18,27.16,0.009170361028452333,0.030802216784172227
Gondia,2025-12,2025-12-01,26.95,26.94,0.05430744213780769,0.05430744213780769
Gondia,2026-01,2026-01-01,26.92,26.92,0.051152943335394066,0.051152943335394066
Gondiya,2025-03,2025-03-01,28.97,28.78,0.010456537186334821,0.010456537186334821
Gondiya,2025-04,2025-04-01,28.41,28.25,0.01256420352010143,0.011384655767253435
Gondiya,2025-05,2025-05-01,30.93,30.68,0.005593694492805,0.005593694492805
Gondiya,2025-05,2025-05-01,30.93,30.68,0.005593694492805,0.05400982424859137
Gondiya,2025-05,2025-05-01,30.93,30.68,0.05400982424859137,0.005593694492805
Gondiya,2025-05,2025-05-01,30.93,30.68,0.05400982424859137,0.05400982424859137
Gondiya,2025-05,2025-05-01,30.93,26.76,0.005593694492805,0.005593694492805
Gondiya,2025-05,2025-05-01,30.93,26.76,0.005593694492805,0.05400982424859137
Gondiya,2025-05,2025-05-01,30.93,26.76,0.05400982424859137,0.005593694492805
Gondiya,2025-05,2025-05-01,30.93,26.76,0.05400982424859137,0.05400982424859137
Gondiya,2025-05,2025-05-01,26.77,30.68,0.005593694492805,0.005593694492805
Gondiya,2025-05,2025-05-01,26.77,30.68,0.005593694492805,0.05400982424859137
Gondiya,2025-05,2025-05-01,26.77,30.68,0.05400982424859137,0.005593694492805
Gondiya,2025-05,2025-05-01,26.77,30.68,0.05400982424859137,0.05400982424859137
Gondiya,2025-05,2025-05-01,26.77,26.76,0.005593694492805,0.005593694492805
Gondiya,2025-05,2025-05-01,26.77,26.76,0.005593694492805,0.05400982424859137
Gondiya,2025-05,2025-05-01,26.77,26.76,0.05400982424859137,0.005593694492805
Gondiya,2025-05,2025-05-01,26.77,26.76,0.05400982424859137,0.05400982424859137
Gondiya,2025-06,2025-06-01,31.91,31.56,0.027326591717270154,0.027373116979153213
Gondiya,2025-06,2025-06-01,31.91,31.56,0.027326591717270154,0.04159145061774047
Gondiya,2025-06,2025-06-01,31.91,31.56,0.04159145061774047,0.027373116979153213
Gondiya,2025-06,2025-06-01,31.91,31.56,0.04159145061774047,0.04159145061774047
Gondiya,2025-06,2025-06-01,31.91,26.38,0.027326591717270154,0.027373116979153213
Gondiya,2025-06,2025-06-01,31.91,26.38,0.027326591717270154,0.04159145061774047
Gondiya,2025-06,2025-06-01,31.91,26.38,0.04159145061774047,0.027373116979153213
Gondiya,2025-06,2025-06-01,31.91,26.38,0.04159145061774047,0.04159145061774047
Gondiya,2025-06,2025-06-01,26.39,31.56,0.027326591717270154,0.027373116979153213
Gondiya,2025-06,2025-06-01,26.39,31.56,0.027326591717270154,0.04159145061774047
Gondiya,2025-06,2025-06-01,26.39,31.56,0.04159145061774047,0.027373116979153213
Gondiya,2025-06,2025-06-01,26.39,31.56,0.04159145061774047,0.04159145061774047
Gondiya,2025-06,2025-06-01,26.39,26.38,0.027326591717270154,0.027373116979153213
Gondiya,2025-06,2025-06-01,26.39,26.38,0.027326591717270154,0.04159145061774047
Gondiya,2025-06,2025-06-01,26.39,26.38,0.04159145061774047,0.027373116979153213
Gondiya,2025-06,2025-06-01,26.39,26.38,0.04159145061774047,0.04159145061774047
Gondiya,2025-07,2025-07-01,28.98,28.86,0.0040294073166691185,0.0040294073166691185
